"IGKC"
"HBA2"
"HBB"
"HBA1"
"IGHA1"
"IGLC2"
"JCHAIN"
"HBM"
"IGHG1"
"IGHM"
"HBD"
"IGHG3"
"IGHG2"
"CA1"
"PTGDS"
"IGLC3"
"MZB1"
"AHSP"
"ELANE"
"HIST1H4C"
"IGLL1"
"PRTN3"
"CA2"
"MPO"
"DNTT"
"HBG2"
"AZU1"
"GYPA"
"PRDX2"
"HBG1"
"IGLL5"
"IGHGP"
"IGHA2"
"FAM178B"
"IGHG4"
"LYPD2"
"VPREB1"
"UBE2C"
"AL928768.3"
"APOC1"
"SLC4A1"
"CLC"
"BLVRB"
"GYPB"
"IGKV1-12"
"KCNH2"
"IGLC7"
"CCL3"
"PF4"
"HEMGN"
"TUBA1B"
"KIAA0101"
"ALAS2"
"KLF1"
"TUBB"
"PPBP"
"CTSG"
"DERL3"
"HMGA1"
"TOP2A"
"REXO2"
"SPINK2"
"AVP"
"MYC"
"CA3"
"TNFRSF17"
"APOE"
"CDC20"
"FCER1A"
"CKS2"
"SYNGR1"
"C1QA"
"SLC25A37"
"CNRIP1"
"STMN1"
"IFIT1B"
"EPCAM"
"HMGB2"
"HSP90AA1"
"NME4"
"CENPF"
"HES6"
"HMBS"
"IGLV1-44"
"TUBB4B"
"CCL4"
"TMCC2"
"NMU"
"SMIM1"
"GLRX5"
"MPC2"
"C1QTNF4"
"CCNB1"
"MYL4"
"IGKV1-5"
"HERPUD1"
"C1QB"
"H2AFZ"
"PTTG1"
"IGLC6"
"GNLY"
"TMEM14C"
"TYMS"
"IGLV2-11"
"ATPIF1"
"PRSS57"
"SNCA"
"NPY"
"IGHD"
"IGLV6-57"
"TMEM56"
"TCL1A"
"CXCL12"
"HMGB1"
"BIRC5"
"UBE2S"
"CD24"
"SCT"
"HSPD1"
"GZMB"
"MKI67"
"UROD"
"ITGA2B"
"IGLV2-14"
"CCL4L2"
"UBAC1"
"FABP4"
"CLEC10A"
"NUSAP1"
"GATA1"
"RP11-620J15.3"
"FECH"
"AKR1C3"
"ITM2C"
"FCGR3A"
"MEG3"
"S100A8"
"IRF8"
"RHCE"
"VCAM1"
"PLK1"
"IGLV3-25"
"RP11-354E11.2"
"SEC11C"
"LILRA4"
"RRM2"
"TFR2"
"GNG11"
"FABP5"
"CXCL10"
"KPNA2"
"AC004791.2"
"RAN"
"LMNA"
"HEBP1"
"VMO1"
"GFI1B"
"CKS1B"
"MS4A2"
"CDK4"
"CTGF"
"EGFL7"
"RHAG"
"MS4A3"
"FKBP11"
"VPREB3"
"AK1"
"GP9"
"IGLV2-8"
"HMGN5"
"S100A9"
"NFIA"
"YBX1"
"CLU"
"IGLV1-47"
"CCNB2"
"PDLIM1"
"PTCRA"
"AXL"
"IGKV4-1"
"RPL22L1"
"TSPAN17"
"DUT"
"NPW"
"HBQ1"
"CENPA"
"JSRP1"
"RFESD"
"SMIM24"
"SELENBP1"
"NCL"
"SSR4"
"TK1"
"GYPC"
"SDC1"
"ACRBP"
"CCT6A"
"CYTL1"
"TFRC"
"TRBV14"
"TUBG1"
"KIAA0125"
"TPX2"
"HMMR"
"RANBP1"
"LXN"
"IDH2"
"FKBP4"
"HSP90B1"
"ANK1"
"HLA-DPB1"
"IGKV3-15"
"CDK1"
"EPOR"
"PPP1R14A"
"TPM1"
"G0S2"
"SDPR"
"CENPU"
"TSC22D1"
