"CD11a"
"CD11c"
"CD123"
"CD127-IL7Ra"
"CD14"
"CD16"
"CD161"
"CD19"
"CD197-CCR7"
"CD25"
"CD27"
"CD278-ICOS"
"CD28"
"CD3"
"CD34"
"CD38"
"CD4"
"CD45RA"
"CD45RO"
"CD56"
"CD57"
"CD69"
"CD79b"
"CD8a"
"HLA.DR"
